@Caption,情報通信機器の利用の際の被害等の経験（世帯単位）（加工）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Creator,総務省「令和６年通信利用動向調査」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Date,令和6年8月末,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Language,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,集計世帯数,比重調整後集計世帯数,端末の紛失・盗難,コンピュータウイルスへの感染,迷惑メール・架空請求メールを受信,個人情報（電話番号、メールアドレス、位置情報など）の漏えい,フィッシング,ウェブ閲覧履歴などに関連する広告表示,違法・有害情報の閲覧・拡散,真偽の不確かな情報の閲覧・拡散,その他,特にない,無回答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,世帯,世帯,％,％,％,％,％,％,％,％,％,％,％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Baseval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Datatype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xsd:string,xsd:string,xsd:integer,xsd:integer,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Note,（対象：過去１年間に少なくとも１人はインターネットを利用したことのある世帯）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯全体,[ 全　体 ],13204,13557,12.5,14.9,73.6,19.4,14.4,36.5,5.1,13.7,1.5,14.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯主年齢,２０～２９歳,461,1271,12.6,5.3,68.2,14.2,14.1,40.1,5.1,19.8,0.5,17.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯主年齢,３０～３９歳,1223,1802,16.5,12.9,78.1,22.8,14.8,47.1,6.7,18.9,1.3,11.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯主年齢,４０～４９歳,2008,2512,14.9,14.5,81.4,21.3,17,48.5,6.3,16.2,1.3,11,1.1
世帯主年齢,５０～５９歳,2843,2489,11.7,14.3,79.7,19.9,15.6,39.5,5.2,12,1.6,10.4,2.2
世帯主年齢,６０～６９歳,3155,2298,12.2,18.9,76.7,19.2,16,32.5,4.7,11.9,2.1,11.8,3.6
世帯主年齢,　６０～６４歳,1561,1105,12.7,19.1,80.3,19.7,15.9,38.2,6.4,13.5,1.7,9.8,2.3
世帯主年齢,　６５～６９歳,1594,1194,11.7,18.7,73.4,18.8,16.1,27.2,3.2,10.3,2.5,13.7,4.7
世帯主年齢,７０～７９歳,2563,2158,8.4,18,62.5,17.9,8.2,19.7,3.2,8.7,1.7,19.5,6.9
世帯主年齢,　７０～７４歳,1433,1281,8,18.6,65.9,19.1,9.1,19.5,2.9,7.9,1.8,18.1,5.7
世帯主年齢,　７５～７９歳,1130,878,9.1,17.2,57.5,16.3,6.9,20.1,3.7,9.9,1.5,21.6,8.8
世帯主年齢,６５歳以上,5108,4378,10,18.1,63.7,18,11.8,22.2,3.5,9.3,1.9,19.1,7.1
世帯主年齢,７５歳以上,2081,1904,10.2,17.4,56.1,16.8,10.9,20.8,4.1,9.5,1.7,23.2,9.6
世帯主年齢,８０歳以上,951,1026,11.2,17.6,54.9,17.3,14.4,21.5,4.5,9.2,1.8,24.6,10.3
世帯主性別,男性,10947,11009,12.9,16.2,73.7,19.3,14.7,36.4,5.4,14,1.6,14.4,3.4
世帯主性別,女性,2257,2547,10.9,9.6,73.3,19.7,13.1,37.2,4.1,12.2,1.3,12.6,4.3
世帯人員,単身,2356,3037,10.4,11.4,70.2,19.5,13.4,37.3,5.9,16.3,1.6,15,4
世帯人員,２人家族,4640,4361,11.6,17.5,71.7,18.7,13.4,30.4,4.4,11.3,1.3,14.4,4.6
世帯人員,３人家族,2957,2803,13.9,16.8,76.8,20.9,15.5,39.5,5.3,13.5,1.6,12,3.7
世帯人員,４人家族,2251,2404,14,13.9,76.8,18.2,16.4,42.5,5.2,14.3,1.5,15,1.7
世帯人員,５人家族,729,739,17.6,11.4,76.7,21.1,15.3,38.8,5.1,16.6,2,11.8,1.4
世帯人員,６人家族,186,143,8.8,13.1,73.6,17.3,10.4,33,6.8,10.4,2.3,16,3.6
世帯人員,７人以上家族,85,71,15,10.5,69.4,23.6,11.1,47.9,8.1,7.9,5,20.8,5.1
世帯類型,単独世帯（非高齢者）,1563,2320,11.5,11.2,75.5,20.5,15.9,43.9,7.1,19.3,1.7,11.5,1.6
世帯類型,高齢世帯（高齢者のみ）,2828,2516,8.1,17.9,59.2,17.4,9.8,17.5,3.5,8.9,1.8,20.9,9.2
世帯類型,大人２人（非高齢者のみ）,1621,1672,12.1,14.1,80.3,19.5,14.2,41.3,4.5,13.4,0.7,11.2,1.6
世帯類型,大人２人（高齢者を含む）,943,809,14.6,19.1,74,18.5,16.7,31.7,4.9,10.1,1,12.6,2.9
世帯類型,大人が２人以下＋子ども,2704,3363,15.7,12.9,78.6,19.8,15.9,46.3,6.2,16.1,1.3,12.8,1.6
世帯類型,大人が３人以上＋子ども,753,641,14.1,12.7,72.9,19.2,14.1,37.1,4.8,13,2.1,15.1,3.3
世帯類型,大人が３人以上のみ,2792,2235,12.9,18.3,75.4,20.1,15.3,33.8,4,11.4,2.1,13.2,4
世帯年収,200万円未満,1512,1405,9.9,12,61.5,15.8,9.2,24.5,4.2,8.8,1.5,19.3,8.1
世帯年収,200～400万円未満,3534,3390,11.4,15.5,69.2,18.3,14.2,30.2,4.2,12.3,1.9,15.9,4.3
世帯年収,400～600万円未満,2832,2974,12.2,13.6,75.6,19.4,13.6,38,5.7,13.9,1.3,13.5,3.2
世帯年収,600～800万円未満,2256,2300,13.2,16.1,76.7,21.1,16.2,38.7,5.7,13.9,1.6,11.8,2.4
世帯年収,800～1000万円未満,1422,1556,14.2,15.5,79.7,18.6,14.6,44.2,5.1,15.6,1.5,11.8,2
世帯年収,1000～1500万円未満,1092,1270,16,16.1,81.4,21.7,18,47.3,5.7,16.5,1.3,10.3,2
世帯年収,1500～2000万円未満,217,339,15.7,11,73.1,27.4,16,50.3,9.3,23,0.9,18,0.4
